name,latitude,longitude,is_similar
PWMPzEhgQSIJFtLl,12.864532497107326,77.73143549579069,1
PWMPzEhgQSIJFtL,12.865321165438637,77.7314729992191,1
lqKiDFBZBTWUez,12.983261295304194,77.67860107706478,1
lqKiDFBZBTWXUez,12.98372612827221,77.67840867602989,1
sjislLxiXZmXLXrA,12.873688787580445,77.50616775642054,1
sjislLxiXZmXLXr,12.874079493237168,77.50552922468972,1
tnbuHQPEFCTHbM,12.990843895648302,77.5440597112632,1
KtnbuHQPEFCTHbM,12.99117668224228,77.54470053564766,1
zQDGraifUKPvJXrh,12.912486140806315,77.7199094108049,1
zQDGraifUKPvJXr,12.912090285613802,77.72061060421989,1
IiUaIKLepwZKsK,12.910422441231065,77.59244420713948,1
IiUaIKLepwZlKsK,12.91128729120406,77.59196143907485,1
AHzXGncOYekvbc,12.906721488679834,77.703402737544,1
AHzXGncOYekMvbc,12.905894120524152,77.70314403967068,1
DkRreiaFouYeugQi,13.028659386729384,77.50803626398752,1
DkRreiaFouYeugQ,13.028495876891585,77.50866651128297,1
aXvBGKUTNkPDxiFC,12.980733152028042,77.52556090482467,1
aXvBGKUTNkPDxiF,12.981675576082754,77.52547079308427,1
SdxKQfPDkfXEQK,12.9300119012902,77.64535691047556,1
SGdxKQfPDkfXEQK,12.929778624282552,77.64581473048007,1
kUeXLNDvRBgMgJ,12.902685707150813,77.46886736718902,1
kUeXLNDkvRBgMgJ,12.903632180722267,77.46820673983098,1
kAbqVgEBpxFnneeo,12.9609750742182,77.57004911513958,1
kAbqVgEBpxFnnee,12.961413207268308,77.5701986714893,1
lTtlymCLWsWZWsVq,12.87696321330928,77.73722144896529,1
lTtlymCLWsWZWsV,12.876734974137625,77.73676928056967,1
OQwFZvRDfaPmST,13.023596018993656,77.61059258513713,1
OQwFZvRDfaXPmST,13.022952201172007,77.61072905674307,1
NibgfyKYxNWbeKLg,12.913284860683058,77.64198736990933,1
NibgfyKYxNWbeKL,12.913891870741413,77.64292343726254,1
oUvkVqDnWziwqkHa,12.860315387151598,77.7143775743037,1
